plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1494796563,False,10,11,-1,130.0,499.5074290471714,133.7981669355479,523.6442288473668
1424,1494796563,False,11,12,-1,142.0,465.45438620699764,-80.69005982501396,478.35085666056614
1424,1494884485,True,1,2,-1,-690.0,73.95122457735073,-17.52556837372287,182.15154775221805
1424,1494884485,True,2,3,-1,-562.0,275.2338411216812,160.8702080933771,335.38590377416244
1424,1494884485,True,3,4,-1,-474.0,487.5151965377072,57.790326617135925,530.2740134858399
1424,1494884485,True,4,5,-1,-354.0,760.1955079254926,-152.35225893651932,814.505852427834
1424,1494884485,False,5,6,-1,-214.0,763.5248998559078,52.4119215609661,1004.7166846857377
1424,1494884485,False,6,7,-1,-214.0,1094.8318637537757,-126.60121553243806,1200.4329108728891
1424,1494884485,False,7,8,-1,-102.0,1117.1380408137418,66.6766928446802,1199.3528887472119
1424,1494884485,False,8,10,-1,66.0,847.9668990795057,8.249018542656765,892.6586704252223
1424,1494884485,False,9,9,-1,114.0,1027.5824205854938,-148.87129005589884,1126.8943156240025
1424,1494884485,False,10,11,-1,154.0,728.314521134799,-73.76668803252005,728.314521134799
1424,1494959679,True,1,2,-1,-686.0,48.28427124746191,-19.98310652189998,159.2575450514572
1424,1494959679,True,2,3,-1,-562.0,266.1620443519567,160.370376903343,330.2373062824092
1424,1494959679,True,3,4,-1,-470.0,475.1160921155898,58.46828381208106,508.4656856409807
1424,1494959679,True,4,5,-1,-350.0,752.4906109452849,-152.18800980588202,806.2311448806836
1424,1494959679,True,5,6,-1,-282.0,925.9681300827721,50.09336923041278,1064.522515414621
1424,1494959679,False,6,7,-1,-190.0,1082.7752559624332,-124.96371841831962,1181.6862946282413
1424,1494959679,False,7,10,-1,-110.0,869.0348709648287,11.953228481007168,950.1130432183808
1424,1494959679,False,8,9,-1,130.0,1090.4229889479298,-147.36649715321482,1167.7745732850967
1424,1494959679,False,9,8,-1,142.0,1085.553660220702,72.76139052969117,1209.1160193497406
1424,1494959679,False,10,11,-1,170.0,727.6793476356743,-99.65260971667907,727.6793476356743
1424,1494959679,False,11,12,-1,174.0,464.0983181898113,57.264773727892404,477.7597448604754
1424,1495051493,True,1,2,-1,-682.0,36.58505747976789,7.907162702958458,78.64588224488446
1424,1495051493,True,2,3,-1,-562.0,296.14994872264197,159.02779343025372,327.85629434425516
1424,1495051493,True,3,4,-1,-454.0,458.7305868468806,60.92349719402669,475.5286903979297
1424,1495051493,True,4,5,-1,-334.0,752.4478051219625,-150.66463265920902,799.7459774963429
1424,1495051493,True,5,6,-1,-266.0,907.8409346050461,50.71759656970652,1015.5109760446874
